Log entry for 20240819_10_57_40
[20240819_10_57_38]	[DEBUG] This is an debug message. 
Deleted old log file: "/home/zdy/MyDir/CPPprojects/test/log/myLog/20240819_10_57_16.log"
[20240819_10_57_40]	[INFO] This is an info message. 
[20240819_10_57_40]	[WARN] This is a warning message. 
[20240819_10_57_40]	[ERROR] This is an error message. 
[20240819_10_57_40]	[DEBUG] This is an debug message. 
[20240819_10_57_40]	[INFO] This is an info message. 
[20240819_10_57_40]	[WARN] This is a warning message. 
[20240819_10_57_40]	[ERROR] This is an error message. 
[20240819_10_57_40]	[DEBUG] This is an debug message. 
[20240819_10_57_40]	[INFO] This is an info message. 
[20240819_10_57_40]	[WARN] This is a warning message. 
[20240819_10_57_40]	[ERROR] This is an error message. 
[20240819_10_57_40]	[DEBUG] This is an debug message. 
[20240819_10_57_40]	[INFO] This is an info message. 
[20240819_10_57_40]	[WARN] This is a warning message. 
[20240819_10_57_40]	[ERROR] This is an error message. 
[20240819_10_57_40]	[DEBUG] This is an debug message. 
[20240819_10_57_40]	[INFO] This is an info message. 
[20240819_10_57_40]	[WARN] This is a warning message. 
[20240819_10_57_40]	[ERROR] This is an error message. 
[20240819_10_57_40]	[DEBUG] This is an debug message. 
[20240819_10_57_40]	[INFO] This is an info message. 
[20240819_10_57_40]	[WARN] This is a warning message. 
[20240819_10_57_40]	[ERROR] This is an error message. 
[20240819_10_57_40]	[DEBUG] This is an debug message. 
[20240819_10_57_40]	[INFO] This is an info message. 
[20240819_10_57_40]	[WARN] This is a warning message. 
[20240819_10_57_40]	[ERROR] This is an error message. 
[20240819_10_57_40]	[DEBUG] This is an debug message. 
[20240819_10_57_40]	[INFO] This is an info message. 
[20240819_10_57_40]	[WARN] This is a warning message. 
[20240819_10_57_40]	[ERROR] This is an error message. 
[20240819_10_57_40]	[DEBUG] This is an debug message. 
[20240819_10_57_40]	[INFO] This is an info message. 
[20240819_10_57_40]	[WARN] This is a warning message. 
[20240819_10_57_40]	[ERROR] This is an error message. 
[20240819_10_57_40]	[DEBUG] This is an debug message. 
[20240819_10_57_40]	[INFO] This is an info message. 
[20240819_10_57_40]	[WARN] This is a warning message. 
[20240819_10_57_40]	[ERROR] This is an error message. 
[20240819_10_57_40]	[DEBUG] This is an debug message. 
[20240819_10_57_40]	[INFO] This is an info message. 
[20240819_10_57_40]	[WARN] This is a warning message. 
[20240819_10_57_40]	[ERROR] This is an error message. 
[20240819_10_57_40]	[DEBUG] This is an debug message. 
[20240819_10_57_40]	[INFO] This is an info message. 
[20240819_10_57_40]	[WARN] This is a warning message. 
[20240819_10_57_40]	[ERROR] This is an error message. 
[20240819_10_57_40]	[DEBUG] This is an debug message. 
[20240819_10_57_40]	[INFO] This is an info message. 
[20240819_10_57_40]	[WARN] This is a warning message. 
[20240819_10_57_40]	[ERROR] This is an error message. 
[20240819_10_57_40]	[DEBUG] This is an debug message. 
[20240819_10_57_40]	[INFO] This is an info message. 
[20240819_10_57_40]	[WARN] This is a warning message. 
[20240819_10_57_40]	[ERROR] This is an error message. 
[20240819_10_57_40]	[DEBUG] This is an debug message. 
[20240819_10_57_40]	[INFO] This is an info message. 
[20240819_10_57_40]	[WARN] This is a warning message. 
[20240819_10_57_40]	[ERROR] This is an error message. 
[20240819_10_57_40]	[DEBUG] This is an debug message. 
[20240819_10_57_40]	[INFO] This is an info message. 
[20240819_10_57_40]	[WARN] This is a warning message. 
[20240819_10_57_40]	[ERROR] This is an error message. 
[20240819_10_57_40]	[DEBUG] This is an debug message. 
[20240819_10_57_40]	[INFO] This is an info message. 
